@relation DAT_MT_GBPUSD_M1_201603_MACDANNRecommendation

@attribute timestamp date 'yyyy.MM.dd HH:mm'
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute EMA12 numeric
@attribute EMA26 numeric
@attribute EMA9 numeric
@attribute histogram1 numeric
@attribute histogram2 numeric

@data
'2016.03.02 09:00',1.40253,1.40253,1.40216,1.4023,1.397974,1.396793,0.00042,0.000761,0.00077
'2016.03.02 10:00',1.40263,1.40263,1.40249,1.40259,1.398684,1.397223,0.000628,0.000833,0.00081
'2016.03.02 11:00',1.40632,1.40652,1.40618,1.40618,1.399837,1.397886,0.000893,0.001058,0.001073
'2016.03.02 12:00',1.40556,1.40587,1.40536,1.40536,1.400687,1.39844,0.001164,0.001083,0.00103
'2016.03.02 13:00',1.40642,1.40643,1.40582,1.40585,1.401481,1.398989,0.00143,0.001063,0.00099
'2016.03.02 14:00',1.40754,1.40762,1.40737,1.40759,1.402421,1.399626,0.001703,0.001093,0.001027
'2016.03.02 15:00',1.40742,1.40742,1.4072,1.40722,1.403159,1.400188,0.001956,0.001015,0.000916
'2016.03.02 16:00',1.4077,1.40772,1.4077,1.40772,1.403861,1.400746,0.002188,0.000927,0.000825
'2016.03.02 17:00',1.40758,1.40773,1.40741,1.4076,1.404436,1.401254,0.002387,0.000795,0.00068
'2016.03.02 18:00',1.40763,1.40764,1.40744,1.40752,1.404911,1.401718,0.002548,0.000645,0.000528
'2016.03.02 19:00',1.40783,1.40783,1.4076,1.40764,1.405331,1.402157,0.002673,0.000501,0.00039
'2016.03.02 20:00',1.40736,1.40737,1.40722,1.40725,1.405626,1.402534,0.002757,0.000335,0.000223
'2016.03.02 21:00',1.40876,1.40889,1.40873,1.40886,1.406123,1.403003,0.00283,0.000291,0.000218
'2016.03.02 22:00',1.40785,1.40785,1.40757,1.40757,1.406346,1.403341,0.002865,0.00014,0.00004
'2016.03.02 23:00',1.40782,1.40783,1.40774,1.40777,1.406565,1.403669,0.002871,0.000025,-0.00006
'2016.03.03 00:00',1.40781,1.40781,1.40777,1.40777,1.40675,1.403973,0.002852,-0.000075,-0.00015
