@RELATION  DAT_MT_EURUSD_M1_201603_MACDRecommendationTestSet

@ATTRIBUTE timestamp DATE "yyyy.MM.dd HH:mm"
@ATTRIBUTE open real
@ATTRIBUTE high real
@ATTRIBUTE low real
@ATTRIBUTE close real
@ATTRIBUTE histogram1 real
@ATTRIBUTE histogram2 real

@data
"2016.03.16 5:02",1.10886,1.10887,1.10878,1.10881,-1.726965541381327E-4,-1.24742687103503E-4
"2016.03.16 6:02",1.10923,1.10947,1.10913,1.10947,-1.24742687103503E-4,-1.440818485556382E-4
"2016.03.16 7:02",1.10854,1.10867,1.10853,1.10855,-1.440818485556382E-4,-1.0342488527151242E-4
"2016.03.16 8:02",1.10915,1.10931,1.10911,1.10921,-1.0342488527151242E-4,-7.811322333861517E-5
"2016.03.16 9:02",1.10898,1.10924,1.10892,1.10907,-7.811322333861517E-5,-2.1034916909270428E-4
"2016.03.16 10:02",1.10649,1.10667,1.10648,1.10663,-2.1034916909270428E-4,-2.9862800075559134E-4
"2016.03.16 11:02",1.10655,1.10665,1.1063,1.10631,-2.9862800075559134E-4,-2.82571225571409E-4
"2016.03.16 12:02",1.10743,1.10743,1.10703,1.10711,-2.82571225571409E-4,-1.9238212610411093E-4
"2016.03.16 13:02",1.10805,1.10821,1.10802,1.10805,-1.9238212610411093E-4,4.0521306342867233E-4
"2016.03.16 14:02",1.115,1.11709,1.115,1.11628,4.0521306342867233E-4,0.0010339575916400935
"2016.03.16 15:02",1.12157,1.12157,1.12042,1.12052,0.0010339575916400935,0.0015428867042303232
"2016.03.16 16:02",1.12262,1.12317,1.12262,1.12313,0.0015428867042303232,0.001726989616046484
"2016.03.16 17:02",1.12225,1.12237,1.12224,1.1223,0.001726989616046484,0.0016849761476901046
"2016.03.16 18:02",1.12132,1.12138,1.12128,1.12133,0.0016849761476901046,0.0015914967626999984
"2016.03.16 19:02",1.1219,1.12192,1.1218,1.1218,0.0015914967626999984,0.0014127875247593848
"2016.03.16 20:02",1.12138,1.12152,1.12138,1.12142,0.0014127875247593848,0.001228925729294881
"2016.03.16 21:02",1.12145,1.1217,1.12139,1.1217,0.001228925729294881,0.0010193156540522783
"2016.03.16 22:02",1.12141,1.12152,1.1214,1.12152,0.0010193156540522783,8.386080041942199E-4
"2016.03.16 23:02",1.12186,1.12193,1.12184,1.12191,8.386080041942199E-4,6.784720578652433E-4
"2016.03.17 0:02",1.1222,1.12228,1.12218,1.12222,6.784720578652433E-4,5.431836857314213E-4
"2016.03.17 1:02",1.12248,1.12266,1.12238,1.12261,5.431836857314213E-4,3.9039453132310364E-4
"2016.03.17 2:02",1.12229,1.12242,1.12228,1.12239,3.9039453132310364E-4,3.2692968664601967E-4
"2016.03.17 3:02",1.12312,1.12364,1.12312,1.12363,3.2692968664601967E-4,4.3945788337509256E-4
"2016.03.17 4:02",1.12609,1.12684,1.12604,1.12671,4.3945788337509256E-4,5.985968606824154E-4
"2016.03.17 5:02",1.12944,1.12944,1.1289,1.1289,5.985968606824154E-4,7.957510432777103E-4
"2016.03.17 6:02",1.13104,1.13138,1.13083,1.13138,7.957510432777103E-4,9.203442782063182E-4
"2016.03.17 7:02",1.13262,1.13275,1.13253,1.13254,9.203442782063182E-4,9.429654349815209E-4
"2016.03.17 8:02",1.13263,1.13306,1.13263,1.13295,9.429654349815209E-4,7.419841449577257E-4
"2016.03.17 9:02",1.13056,1.13104,1.13056,1.13091,7.419841449577257E-4,6.573103481667935E-4
"2016.03.17 10:02",1.13371,1.13372,1.13275,1.13275,6.573103481667935E-4,4.091601926682993E-4
"2016.03.17 11:02",1.13101,1.13105,1.13077,1.13084,4.091601926682993E-4,2.5186427019342154E-4
"2016.03.17 12:02",1.13213,1.13235,1.13162,1.13177,2.5186427019342154E-4,1.4514579735572328E-4
