@RELATION MACDRecommendation

@ATTRIBUTE histogram1 real
@ATTRIBUTE histogram2 real
@ATTRIBUTE recommendation {buy,sell,stall}

@data
0.7194419840946625,0.7123221533555312,stall
0.7123221533555312,0.7112597180880248,stall
0.7112597180880248,0.7083818687644641,stall
0.7083818687644641,0.7145451372224622,stall
0.7145451372224622,0.7206110286063018,stall
0.7206110286063018,0.7256824855198004,buy
0.7256824855198004,0.724294250765926,sell
0.724294250765926,0.7172914360203677,stall
0.7172914360203677,0.712929382334085,stall
0.712929382334085,0.7136259887410682,stall
0.7136259887410682,0.7138390724024206,stall
0.7138390724024206,0.7092871606183341,stall
0.7092871606183341,0.7054565849444345,stall
0.7054565849444345,0.7033112225164196,stall
0.7033112225164196,0.7038400991140786,stall
0.7038400991140786,0.7043214123705901,stall
0.7043214123705901,0.703935224477231,stall
0.703935224477231,0.703514909823872,stall
0.703514909823872,0.703585558296226,stall
0.703585558296226,0.702785185407735,stall
0.702785185407735,0.704418579014161,stall
0.704418579014161,0.7049618654095958,stall
0.7049618654095958,0.7041616274257178,stall
0.7041616274257178,0.7041949164574886,stall
0.7041949164574886,0.7089063179970327,stall
0.7089063179970327,0.7129821785116099,stall
0.7129821785116099,0.721754267453349,stall
0.721754267453349,0.7287233426329206,buy
0.7287233426329206,0.7341875382683253,stall
0.7341875382683253,0.733690752461094,stall
0.733690752461094,0.7327934096261174,stall
0.7327934096261174,0.7294877357574695,stall
0.7294877357574695,0.726473842066715,stall
0.726473842066715,0.7192432077034046,sell
0.7192432077034046,0.7172281885256215,stall
0.7172281885256215,0.7143114910255108,stall
0.7143114910255108,0.7182651719329952,stall
0.7182651719329952,0.7234961476484487,stall
0.7234961476484487,0.7284233481698167,buy
0.7284233481698167,0.7336216111365986,stall
0.7336216111365986,0.735912639616067,stall
0.735912639616067,0.738499164163486,stall
0.738499164163486,0.7379813191938407,stall
0.7379813191938407,0.7384284104628159,stall
0.7384284104628159,0.7357306248632148,stall
0.7357306248632148,0.7329469654147802,stall
0.7329469654147802,0.7296378922669065,stall
0.7296378922669065,0.7302203587944553,stall
0.7302203587944553,0.7238578206642784,sell
0.7238578206642784,0.7243272926802466,stall
0.7243272926802466,0.7249179027298003,buy
0.7249179027298003,0.727608181730628,stall
0.727608181730628,0.7343025984131334,stall
0.7343025984131334,0.7368630990819209,stall
0.7368630990819209,0.7377891163939104,stall
0.7377891163939104,0.7394073065833873,stall
0.7394073065833873,0.7423294171971254,stall
0.7423294171971254,0.7391623042829897,stall
0.7391623042829897,0.7337163764429775,stall
0.7337163764429775,0.729266340482167,stall
0.729266340482167,0.7207195258605786,sell
0.7207195258605786,0.7181015611767392,stall
0.7181015611767392,0.716697760446577,stall
0.716697760446577,0.7147154840096751,stall
0.7147154840096751,0.7128872979887777,stall
0.7128872979887777,0.7145305166238126,stall
0.7145305166238126,0.7175057338309958,stall
0.7175057338309958,0.7169349056207522,stall
0.7169349056207522,0.7173370953605778,stall
0.7173370953605778,0.7193072622143428,stall
0.7193072622143428,0.7211802194804066,stall
0.7211802194804066,0.7203779788471757,stall
0.7203779788471757,0.72466344425229,buy
0.72466344425229,0.7309762559520037,stall
0.7309762559520037,0.7362628419363482,stall
0.7362628419363482,0.7390673303093781,stall
0.7390673303093781,0.7372479553749369,stall
0.7372479553749369,0.7317903403333872,stall
0.7317903403333872,0.7263254455546457,stall
0.7263254455546457,0.7224133977631821,sell
0.7224133977631821,0.7168746177428551,stall
0.7168746177428551,0.7110664555299013,stall
0.7110664555299013,0.7122936722956361,stall
0.7122936722956361,0.7151101766210661,stall
0.7151101766210661,0.7158826375019884,stall
0.7158826375019884,0.7153532494287047,stall
0.7153532494287047,0.7164503858271801,stall
0.7164503858271801,0.7161863090271844,stall
0.7161863090271844,0.7140352425586052,stall
0.7140352425586052,0.7131539043947396,stall
0.7131539043947396,0.7113713617319847,stall
0.7113713617319847,0.7111249270521959,stall
0.7111249270521959,0.7104798543094971,stall
