@RELATION unlabeledMACDRecommendation

@ATTRIBUTE histogram1 real
@ATTRIBUTE histogram2 real
@ATTRIBUTE recommendation {buy,sell,stall}
@data
2.2513638095641335E-4,1.8232912306179205E-4,?
1.8232912306179205E-4,1.51475584095251E-4,?
1.51475584095251E-4,9.364866283211992E-5,?
9.364866283211992E-5,8.044553734025341E-5,?
8.044553734025341E-5,2.9350150164241862E-5,?
2.9350150164241862E-5,1.519031123161838E-5,?
1.519031123161838E-5,-6.254158068997055E-5,?
-6.254158068997055E-5,-3.422661102084009E-5,?
-3.422661102084009E-5,1.8945040690779118E-5,?
1.8945040690779118E-5,1.684669933290216E-4,?
1.684669933290216E-4,1.8955330118283157E-4,?
1.8955330118283157E-4,2.01353362432561E-4,?
2.01353362432561E-4,6.67019013226891E-4,?
6.67019013226891E-4,0.0010000253093620803,?
0.0010000253093620803,0.0011739877476016022,?
0.0011739877476016022,0.0011866916451039175,?
0.0011866916451039175,0.001147281628098217,?
0.001147281628098217,0.001133370921117231,?
0.001133370921117231,0.0010640274747543573,?
0.0010640274747543573,9.145629308681246E-4,?
9.145629308681246E-4,7.461578052373337E-4,?
7.461578052373337E-4,5.761994034914407E-4,?
5.761994034914407E-4,4.026528374265143E-4,?
4.026528374265143E-4,2.746041015481322E-4,?
2.746041015481322E-4,1.45421280484395E-4,?
1.45421280484395E-4,2.184693444686782E-6,?
2.184693444686782E-6,-1.3214597640970804E-4,?
-1.3214597640970804E-4,-2.6057150983329995E-4,?
-2.6057150983329995E-4,-3.2563915995871117E-4,?
-3.2563915995871117E-4,-3.934290596115794E-4,?
-3.934290596115794E-4,-4.6613296922098837E-4,?
-4.6613296922098837E-4,-4.7450190412461285E-4,?
-4.7450190412461285E-4,-5.673856983989716E-4,?
-5.673856983989716E-4,-5.290281783948561E-4,?
-5.290281783948561E-4,-4.6984292814597007E-4,?
-4.6984292814597007E-4,-4.462218762110578E-4,?
-4.462218762110578E-4,-2.676998940303369E-4,?
-2.676998940303369E-4,-5.3805945760769264E-5,?
-5.3805945760769264E-5,-5.2193397354475136E-5,?
-5.2193397354475136E-5,-7.319573254568369E-5,?
-7.319573254568369E-5,5.690656235464572E-5,?
5.690656235464572E-5,1.503239887196482E-4,?
1.503239887196482E-4,1.8423768028717454E-4,?
1.8423768028717454E-4,1.4547267178500502E-4,?
1.4547267178500502E-4,3.477485417634077E-5,?
3.477485417634077E-5,-2.1473385206517443E-5,?
-2.1473385206517443E-5,-1.0505195643410216E-4,?
-1.0505195643410216E-4,-1.7816552974177658E-4,?
-1.7816552974177658E-4,-2.4111921212336762E-4,?
-2.4111921212336762E-4,-3.6788366621654705E-4,?
-3.6788366621654705E-4,-4.678093650056841E-4,?
-4.678093650056841E-4,-5.956626805565129E-4,?
-5.956626805565129E-4,-6.493594278366506E-4,?
-6.493594278366506E-4,-6.63130383915284E-4,?
-6.63130383915284E-4,-5.743384796993969E-4,?
-5.743384796993969E-4,-5.841519059366792E-4,?
-5.841519059366792E-4,-5.371370818382803E-4,?
-5.371370818382803E-4,-3.153449016831465E-4,?
-3.153449016831465E-4,-1.1935808295547275E-4,?
-1.1935808295547275E-4,5.0452523486668385E-5,?
5.0452523486668385E-5,2.0377411602518348E-4,?
2.0377411602518348E-4,2.0041274658555755E-4,?
2.0041274658555755E-4,1.3557920439719864E-4,?
1.3557920439719864E-4,1.2784137676174578E-4,?
1.2784137676174578E-4,1.387735210029513E-4,?
1.387735210029513E-4,1.8413080354054466E-4,?
1.8413080354054466E-4,2.2146430198610777E-4,?
2.2146430198610777E-4,1.7791648899789835E-4,?
1.7791648899789835E-4,1.6404690407911858E-4,?
1.6404690407911858E-4,8.61692650706129E-5,?
8.61692650706129E-5,5.8820569622678245E-6,?
5.8820569622678245E-6,-6.278556772248913E-5,?
-6.278556772248913E-5,-8.660412943997057E-5,?
-8.660412943997057E-5,-2.2509409089527884E-4,?
-2.2509409089527884E-4,-3.332348141137193E-4,?
-3.332348141137193E-4,-3.8784502573497594E-4,?
-3.8784502573497594E-4,-4.332363870262657E-4,?
-4.332363870262657E-4,-3.4567636019803595E-4,?
-3.4567636019803595E-4,-3.0111706846718965E-4,?
-3.0111706846718965E-4,-2.0155822982607886E-4,?
-2.0155822982607886E-4,-7.994450721596734E-5,?
-7.994450721596734E-5,-4.307030808296721E-6,?
-4.307030808296721E-6,2.5794667520205984E-5,?
2.5794667520205984E-5,4.039671296925205E-5,?
4.039671296925205E-5,3.166280787662086E-5,?
3.166280787662086E-5,1.7622533804689377E-5,?
1.7622533804689377E-5,4.562454417833496E-5,?
4.562454417833496E-5,6.394440626653584E-5,?
6.394440626653584E-5,1.2103830365333551E-4,?
1.2103830365333551E-4,1.3088128768061198E-4,?
1.3088128768061198E-4,1.4730826921412806E-4,?
1.4730826921412806E-4,1.334799127869317E-4,?
1.334799127869317E-4,9.791789105098874E-5,?
9.791789105098874E-5,7.334903318743317E-5,?
7.334903318743317E-5,6.18966534152339E-5,?
6.18966534152339E-5,1.6366870922693202E-5,?
1.6366870922693202E-5,-1.3710985921260325E-5,?
-1.3710985921260325E-5,-6.37665493254272E-5,?
-6.37665493254272E-5,-9.48564712400029E-5,?
-9.48564712400029E-5,-1.5178006589551844E-4,?
-1.5178006589551844E-4,-1.832751414873404E-4,?
-1.832751414873404E-4,-1.6676906694209162E-4,?
-1.6676906694209162E-4,-1.9086140689236492E-4,?
-1.9086140689236492E-4,-2.8784167564166246E-4,?
-2.8784167564166246E-4,-4.630573690355337E-4,?
-4.630573690355337E-4,-5.551772754439795E-4,?
-5.551772754439795E-4,-5.272167794733515E-4,?
-5.272167794733515E-4,-5.167919278870341E-4,?
-5.167919278870341E-4,-4.669489153076304E-4,?
-4.669489153076304E-4,-4.76272731448191E-4,?
-4.76272731448191E-4,-3.5901001173771285E-4,?
-3.5901001173771285E-4,-3.113238964318905E-4,?
-3.113238964318905E-4,-7.179713814265787E-6,?
-7.179713814265787E-6,5.796261942151563E-4,?
5.796261942151563E-4,9.107416461974539E-4,?
9.107416461974539E-4,0.0010315294116732413,?
0.0010315294116732413,0.0010322265519481129,?
0.0010322265519481129,9.603694296393878E-4,?
9.603694296393878E-4,8.605691100041324E-4,?
8.605691100041324E-4,8.205533122533329E-4,?
8.205533122533329E-4,7.097467533726729E-4,?
7.097467533726729E-4,5.128122054096785E-4,?
5.128122054096785E-4,3.750719261649618E-4,?
3.750719261649618E-4,2.520812273053173E-4,?
2.520812273053173E-4,1.3527363830864378E-4,?
1.3527363830864378E-4,3.645272992948987E-5,?
3.645272992948987E-5,-8.492597826144756E-5,?
-8.492597826144756E-5,-3.0259359512824517E-4,?
-3.0259359512824517E-4,-5.353278811753206E-4,?
-5.353278811753206E-4,-6.849513240641356E-4,?
-6.849513240641356E-4,-7.43721724493559E-4,?
-7.43721724493559E-4,-6.488738283744473E-4,?
-6.488738283744473E-4,-6.928922484524818E-4,?
-6.928922484524818E-4,-6.075498048130792E-4,?
-6.075498048130792E-4,-4.997369084707517E-4,?
-4.997369084707517E-4,-4.4489400691836794E-4,?
-4.4489400691836794E-4,-4.1490179777862026E-4,?
-4.1490179777862026E-4,-4.1004659017940585E-4,?
-4.1004659017940585E-4,-4.470701258468627E-4,?
-4.470701258468627E-4,-4.7355928647643917E-4,?
-4.7355928647643917E-4,-4.858723488349933E-4,?
-4.858723488349933E-4,-4.6712558257231925E-4,?
-4.6712558257231925E-4,-4.167038241059769E-4,?
