@relation DAT_MT_EURUSD_M1_201603

@attribute timestamp date 'yyyy.MM.dd HH:mm'
@attribute open numeric
@attribute high numeric
@attribute low numeric
@attribute close numeric
@attribute close2 numeric

@data
'2016.03.01 00:02',1.08826,1.08851,1.08826,1.08838,1.087997
'2016.03.01 01:02',1.08857,1.08866,1.08857,1.08863,1.088256
'2016.03.01 02:02',1.08823,1.08828,1.08803,1.08804,1.087787
'2016.03.01 03:02',1.08744,1.0877,1.08744,1.0877,1.087205
'2016.03.01 04:02',1.08743,1.08805,1.08735,1.08793,1.087325
'2016.03.01 05:02',1.08634,1.08634,1.08605,1.08605,1.08581
'2016.03.01 06:02',1.08709,1.08726,1.08701,1.08721,1.086772
'2016.03.01 07:02',1.08753,1.08754,1.08739,1.08741,1.087101
'2016.03.01 08:02',1.08773,1.08777,1.08765,1.08768,1.087345
'2016.03.01 09:02',1.08739,1.0875,1.08719,1.08747,1.08702
'2016.03.01 10:02',1.08454,1.08454,1.08388,1.08418,1.083872
'2016.03.01 11:02',1.08525,1.0854,1.08516,1.08538,1.084902
'2016.03.01 12:02',1.08434,1.08445,1.08425,1.08427,1.083917
'2016.03.01 13:02',1.08589,1.08593,1.08572,1.08572,1.085426
'2016.03.01 14:02',1.08686,1.08697,1.08686,1.08693,1.086532
'2016.03.01 15:02',1.08656,1.08661,1.08654,1.08658,1.086195
'2016.03.01 16:02',1.08652,1.08653,1.08645,1.08647,1.086114
'2016.03.01 17:02',1.0866,1.08669,1.0866,1.08669,1.086269
'2016.03.01 18:02',1.08681,1.08687,1.0867,1.08685,1.086433
'2016.03.01 19:02',1.08745,1.08745,1.08735,1.08744,1.087056
'2016.03.01 20:02',1.08755,1.08761,1.08753,1.08761,1.087211
'2016.03.01 21:02',1.08665,1.08685,1.08665,1.08682,1.086367
'2016.03.01 22:02',1.08634,1.08634,1.08625,1.08626,1.085916
'2016.03.01 23:02',1.08595,1.08597,1.08584,1.0859,1.085528
'2016.03.02 00:02',1.08586,1.08587,1.08582,1.08586,1.085465
'2016.03.02 01:02',1.08614,1.08623,1.08611,1.08616,1.085776
'2016.03.02 02:02',1.08472,1.08504,1.08472,1.08497,1.08446
'2016.03.02 03:02',1.0863,1.08745,1.0863,1.08713,1.086415
'2016.03.02 04:02',1.08642,1.08642,1.08552,1.08568,1.085619
'2016.03.02 05:02',1.08688,1.0869,1.08676,1.08681,1.086463
'2016.03.02 06:02',1.0857,1.08572,1.08564,1.08569,1.085298
'2016.03.02 07:02',1.08514,1.08532,1.08513,1.08532,1.084831
'2016.03.02 08:02',1.08466,1.08466,1.08438,1.08458,1.084164
