@RELATION MACDRecommendation

@ATTRIBUTE histogram1 real
@ATTRIBUTE histogram2 real
@ATTRIBUTE recommendation {buy,sell,stall}

@data
-3.0442340345878934E-4,-1.8206985041311117E-4,stall
-1.8206985041311117E-4,-4.704156322910246E-5,stall
-4.704156322910246E-5,-2.4161568551273253E-4,stall
-2.4161568551273253E-4,-3.1102477555826786E-4,stall
-3.1102477555826786E-4,-3.6017673121747993E-4,stall
-3.6017673121747993E-4,-3.7919447908701996E-4,stall
-3.7919447908701996E-4,-3.9979966895704644E-4,stall
-3.9979966895704644E-4,-3.881377990305172E-4,stall
-3.881377990305172E-4,-4.121377952355661E-4,stall
-4.121377952355661E-4,-4.550161401090224E-4,stall
-4.550161401090224E-4,-4.7453340876933844E-4,stall
-4.7453340876933844E-4,-4.4986212689658415E-4,stall
-4.4986212689658415E-4,-3.556426420824641E-4,stall
-3.556426420824641E-4,-2.1430213094284834E-4,stall
-2.1430213094284834E-4,-1.5564708393059497E-4,stall
-1.5564708393059497E-4,-8.580553351616007E-5,stall
-8.580553351616007E-5,-8.261757100024611E-5,stall
-8.261757100024611E-5,-3.566993267564624E-5,stall
-3.566993267564624E-5,3.696382553173357E-5,buy
3.696382553173357E-5,3.10067424658716E-4,stall
3.10067424658716E-4,4.551203253205079E-4,stall
4.551203253205079E-4,6.491184587604653E-4,stall
6.491184587604653E-4,6.82817705559192E-4,stall
6.82817705559192E-4,7.180210111425741E-4,stall
7.180210111425741E-4,5.42001340375166E-4,stall
5.42001340375166E-4,3.1752613135347947E-4,stall
3.1752613135347947E-4,2.6517657624899107E-4,stall
2.6517657624899107E-4,1.8947298813808903E-4,stall
1.8947298813808903E-4,1.2117532700512471E-4,stall
1.2117532700512471E-4,-8.099426326108691E-6,sell
-8.099426326108691E-6,-5.711727162672593E-5,stall
-5.711727162672593E-5,-8.18498122618547E-5,stall
-8.18498122618547E-5,-7.583783545005819E-5,stall
-7.583783545005819E-5,-4.367815569414316E-5,stall
-4.367815569414316E-5,-4.713186891638331E-5,stall
-4.713186891638331E-5,-8.346789734281027E-5,stall
-8.346789734281027E-5,-1.1470635341614594E-4,stall
-1.1470635341614594E-4,-1.4212709270253456E-4,stall
-1.4212709270253456E-4,-1.424192252364141E-4,stall
-1.424192252364141E-4,-9.601163097736342E-5,stall
-9.601163097736342E-5,-7.8694228582221E-6,stall
-7.8694228582221E-6,1.7589292264135647E-5,buy
