@RELATION MACDRecommendationTestSet

@ATTRIBUTE histogram1 real
@ATTRIBUTE histogram2 real
@ATTRIBUTE recommendation {buy,sell,stall}

@data
0.7218042682049859,0.7197417827131406,stall
0.7197417827131406,0.7192206243503285,stall
0.7192206243503285,0.7187683871345398,stall
0.7187683871345398,0.7194110225204018,stall
0.7194110225204018,0.719521120161566,stall
0.719521120161566,0.7194853122031225,stall
0.7194853122031225,0.7178884598757878,stall
0.7178884598757878,0.7126281142100783,stall
0.7126281142100783,0.7030588749019943,stall
0.7030588749019943,0.6963351869760254,stall
0.6963351869760254,0.6940494824117388,stall
0.6940494824117388,0.6956714904057291,stall
0.6956714904057291,0.6998277005907956,stall
0.6998277005907956,0.7058271288430211,stall
0.7058271288430211,0.7143752831530147,stall
0.7143752831530147,0.7212600202580322,stall
0.7212600202580322,0.7262024112176939,buy
0.7262024112176939,0.7345821308754982,stall
0.7345821308754982,0.7392683249978516,stall
0.7392683249978516,0.742166924148567,stall
0.742166924148567,0.7412292258020384,stall
0.7412292258020384,0.7404740679229362,stall
0.7404740679229362,0.7387959206213646,stall
0.7387959206213646,0.7368029705481435,stall
0.7368029705481435,0.733960785706088,stall
0.733960785706088,0.7313643865253175,stall
0.7313643865253175,0.7290686928756386,stall
0.7290686928756386,0.7267073144929924,stall
0.7267073144929924,0.7250741632132468,stall
0.7250741632132468,0.7243722071126559,sell
0.7243722071126559,0.7242911659153434,stall
0.7242911659153434,0.7177092180383301,stall
0.7177092180383301,0.7193299184202576,stall
0.7193299184202576,0.7265132315316863,buy
0.7265132315316863,0.7308177820662651,stall
0.7308177820662651,0.7332602312011416,stall
0.7332602312011416,0.7320460274726758,stall
0.7320460274726758,0.7332178716010287,stall
0.7332178716010287,0.7294295118934299,stall
0.7294295118934299,0.7266485573063722,stall
0.7266485573063722,0.7255767572361496,stall
0.7255767572361496,0.7277376462858797,stall
0.7277376462858797,0.7320644243594929,stall
0.7320644243594929,0.7348249175164631,stall
0.7348249175164631,0.7359672840714101,stall
0.7359672840714101,0.7352030075814536,stall
0.7352030075814536,0.7337538823288846,stall
0.7337538823288846,0.7320086084196918,stall
0.7320086084196918,0.7307506937759386,stall
0.7307506937759386,0.7283930604704387,stall
0.7283930604704387,0.7278547622571432,stall
0.7278547622571432,0.7257715770566822,stall
0.7257715770566822,0.7251942731446139,stall
0.7251942731446139,0.7220251039533309,sell
0.7220251039533309,0.7231795198218915,stall
0.7231795198218915,0.7253473553947614,buy
0.7253473553947614,0.7314434422647373,stall
0.7314434422647373,0.7323031418752345,stall
0.7323031418752345,0.7327842364381408,stall
0.7327842364381408,0.7517696643938221,stall
0.7517696643938221,0.7653465022672585,stall
0.7653465022672585,0.7724390402986924,stall
0.7724390402986924,0.7729569847302284,stall
0.7729569847302284,0.7713502180784094,stall
0.7713502180784094,0.7707830714040744,stall
0.7707830714040744,0.7679559034502532,stall
0.7679559034502532,0.7618621571646074,stall
0.7618621571646074,0.7549961936249366,stall
0.7549961936249366,0.7480669022196007,stall
0.7480669022196007,0.7409913195105019,stall
0.7409913195105019,0.7357707067260112,stall
0.7357707067260112,0.7305038567055435,stall
0.7305038567055435,0.7246640274219763,stall
0.7246640274219763,0.719187296960091,sell
0.719187296960091,0.7139513219459912,stall
0.7139513219459912,0.7112984804027204,stall
0.7112984804027204,0.7085346513468581,stall
0.7085346513468581,0.7055704755790486,stall
0.7055704755790486,0.7052292698010241,stall
0.7052292698010241,0.701442349762069,stall
0.701442349762069,0.7030062055701032,stall
0.7030062055701032,0.7054192186465936,stall
0.7054192186465936,0.7063822610762482,stall
0.7063822610762482,0.7136606940579725,stall
0.7136606940579725,0.7223812602798982,stall
0.7223812602798982,0.7224470047073442,stall
0.7224470047073442,0.721590728705467,stall
0.721590728705467,0.7268950661469028,buy
0.7268950661469028,0.7307037426405042,stall
0.7307037426405042,0.7320864212788537,stall
0.7320864212788537,0.7305059519552867,stall
0.7305059519552867,0.7259927450277939,stall
0.7259927450277939,0.7236994753940651,sell
0.7236994753940651,0.7202919340820243,stall
0.7202919340820243,0.7173110561146512,stall
0.7173110561146512,0.7147444021229689,stall
0.7147444021229689,0.7095761501670387,stall
0.7095761501670387,0.7055021280611647,stall
0.7055021280611647,0.700289482663883,stall
0.700289482663883,0.6981002386747623,stall
0.6981002386747623,0.6975387897165544,stall
0.6975387897165544,0.7011588812944127,stall
0.7011588812944127,0.7007587828621824,stall
0.7007587828621824,0.7026756014083788,stall
0.7026756014083788,0.7117181826043205,stall
0.7117181826043205,0.7197086659497645,stall
0.7197086659497645,0.7266319316645933,buy
0.7266319316645933,0.7328829318064868,stall
0.7328829318064868,0.7327458870465403,stall
0.7327458870465403,0.7301025902042048,stall
0.7301025902042048,0.7297871149939209,stall
0.7297871149939209,0.7302328241342417,stall
0.7302328241342417,0.7320820638589542,stall
0.7320820638589542,0.7336041697816538,stall
0.7336041697816538,0.7318287030606173,stall
0.7318287030606173,0.7312632329538968,stall
0.7312632329538968,0.7280881215789597,stall
0.7280881215789597,0.7248147708331969,stall
0.7248147708331969,0.722015156476595,sell
0.722015156476595,0.7210440614715762,stall
0.7210440614715762,0.7153977545530611,stall
0.7153977545530611,0.7109888016783177,stall
0.7109888016783177,0.7087623152784484,stall
0.7087623152784484,0.7069116861454297,stall
0.7069116861454297,0.7104815534489537,stall
0.7104815534489537,0.7122982586782722,stall
0.7122982586782722,0.7163573237073289,stall
0.7163573237073289,0.7213155776929899,stall
0.7213155776929899,0.7243993564871481,stall
0.7243993564871481,0.725626618201609,buy
