timestamp,open,high,low,close,close2
'2016.03.04 14:00',1.4216,1.42169,1.42159,1.42162,1.424273
'2016.03.04 15:00',1.42124,1.42125,1.42108,1.42115,1.423845
'2016.03.04 16:00',1.42239,1.42239,1.42216,1.42228,1.424874
'2016.03.06 17:00',1.42158,1.42164,1.42158,1.42164,1.424262
'2016.03.06 18:00',1.42213,1.42228,1.42204,1.42226,1.424823
'2016.03.06 19:00',1.42098,1.42146,1.42098,1.42135,1.42403
'2016.03.06 20:00',1.4214,1.42171,1.4214,1.42171,1.424315
'2016.03.06 21:00',1.42062,1.42065,1.42056,1.42064,1.423349
'2016.03.06 22:00',1.42056,1.42061,1.42051,1.42057,1.423299
'2016.03.06 23:00',1.42088,1.42113,1.42088,1.42111,1.423779
'2016.03.07 00:00',1.42094,1.42104,1.4209,1.42091,1.42365
'2016.03.07 01:00',1.42105,1.42107,1.42103,1.42105,1.423732
'2016.03.07 02:00',1.41957,1.41994,1.41947,1.41953,1.422505
'2016.03.07 03:00',1.41839,1.41839,1.41759,1.41768,1.4209
'2016.03.07 04:00',1.41501,1.41513,1.41496,1.41506,1.418315
'2016.03.07 05:00',1.41475,1.41475,1.4144,1.41442,1.417829
'2016.03.07 06:00',1.41433,1.41467,1.41433,1.41457,1.417883
'2016.03.07 07:00',1.41523,1.41581,1.41523,1.4157,1.418897
'2016.03.07 08:00',1.41486,1.41524,1.41486,1.41516,1.418404
'2016.03.07 09:00',1.41551,1.41566,1.4154,1.41557,1.418776
'2016.03.07 10:00',1.41614,1.4162,1.41564,1.41571,1.419047
'2016.03.07 11:00',1.42049,1.42052,1.41999,1.42006,1.42298
'2016.03.07 12:00',1.42525,1.42579,1.42525,1.42537,1.427853
'2016.03.07 13:00',1.4276,1.42782,1.42757,1.42778,1.429905
'2016.03.07 14:00',1.42657,1.42658,1.42628,1.42628,1.428624
'2016.03.07 15:00',1.42618,1.42627,1.42599,1.42601,1.428365
