timestamp,open,high,low,close,EMA12,EMA26,EMA9,histogram1,histogram2
'2016.03.04 14:00',0.99429,0.99443,0.99428,0.99441,0.992651,0.992828,-0.000539,0.000362,0.000396
'2016.03.04 15:00',0.99484,0.99485,0.99462,0.99478,0.992978,0.992973,-0.00043,0.000436,0.000446
'2016.03.04 16:00',0.99341,0.99347,0.99333,0.99333,0.993033,0.992999,-0.000338,0.000371,0.000299
'2016.03.06 17:00',0.9927,0.9927,0.9927,0.9927,0.992981,0.992977,-0.000269,0.000274,0.000182
'2016.03.06 18:00',0.99407,0.99413,0.99405,0.99409,0.993152,0.993059,-0.000197,0.000289,0.000271
'2016.03.06 19:00',0.9943,0.9944,0.99408,0.99409,0.993296,0.993136,-0.000125,0.000286,0.000261
'2016.03.06 20:00',0.99338,0.99361,0.99335,0.99337,0.993308,0.993153,-0.000069,0.000224,0.000162
'2016.03.06 21:00',0.99391,0.99396,0.99391,0.99391,0.9934,0.993209,-0.000017,0.000208,0.000174
'2016.03.06 22:00',0.99402,0.99402,0.994,0.994,0.993493,0.993268,0.000031,0.000194,0.00016
'2016.03.06 23:00',0.9946,0.99461,0.9945,0.9945,0.993648,0.993359,0.000083,0.000206,0.000191
'2016.03.07 00:00',0.99423,0.99424,0.99423,0.99424,0.993739,0.993424,0.000129,0.000185,0.000146
'2016.03.07 01:00',0.99385,0.99385,0.99383,0.99383,0.993753,0.993454,0.000163,0.000136,0.000081
'2016.03.07 02:00',0.99393,0.99401,0.99382,0.99401,0.993792,0.993496,0.00019,0.000107,0.000062
'2016.03.07 03:00',0.99663,0.99664,0.99631,0.99631,0.99418,0.993704,0.000247,0.000229,0.000288
'2016.03.07 04:00',0.99923,0.99936,0.99923,0.99935,0.994975,0.994122,0.000368,0.000485,0.000605
'2016.03.07 05:00',0.99953,0.99989,0.99951,0.99988,0.99573,0.994549,0.000531,0.00065,0.000693
'2016.03.07 06:00',0.9992,0.99928,0.9992,0.99922,0.996267,0.994895,0.000699,0.000673,0.00063
'2016.03.07 07:00',1.0001,1.00023,1.00009,1.00009,0.996855,0.99528,0.000874,0.000701,0.000661
'2016.03.07 08:00',1.00086,1.00108,1.00081,1.00084,0.997468,0.995691,0.001055,0.000722,0.000675
'2016.03.07 09:00',1.00008,1.0004,0.99996,1.0004,0.997919,0.99604,0.001219,0.000659,0.000543
'2016.03.07 10:00',0.9997,0.99977,0.99958,0.99974,0.998199,0.996314,0.001353,0.000532,0.000389
'2016.03.07 11:00',0.9985,0.99887,0.99848,0.99886,0.998301,0.996503,0.001442,0.000356,0.000183
'2016.03.07 12:00',0.99699,0.99699,0.99656,0.9966,0.998039,0.99651,0.001459,0.00007,-0.00014
'2016.03.07 13:00',0.99431,0.99445,0.99412,0.99415,0.997441,0.996335,0.001388,-0.000283,-0.000518
'2016.03.07 14:00',0.99622,0.99622,0.99617,0.99619,0.997248,0.996324,0.001296,-0.000372,-0.000433
'2016.03.07 15:00',0.99481,0.99535,0.99481,0.99526,0.996943,0.996246,0.001176,-0.000479,-0.000556
'2016.03.07 16:00',0.99557,0.99575,0.99557,0.99575,0.996759,0.996209,0.001051,-0.000501,-0.000513
'2016.03.07 17:00',0.99499,0.99504,0.9948,0.99504,0.996495,0.996122,0.000915,-0.000543,-0.000567
'2016.03.07 18:00',0.9955,0.9955,0.99546,0.99549,0.99634,0.996075,0.000785,-0.00052,-0.000496
'2016.03.07 19:00',0.99578,0.99578,0.99569,0.9957,0.996242,0.996048,0.000667,-0.000473,-0.000432
'2016.03.07 20:00',0.99486,0.99498,0.99485,0.99498,0.996047,0.995969,0.000549,-0.00047,-0.000463
'2016.03.07 21:00',0.99449,0.99449,0.99429,0.99429,0.995777,0.995844,0.000426,-0.000493,-0.000492
'2016.03.07 22:00',0.99391,0.99391,0.99366,0.99369,0.995456,0.995685,0.000295,-0.000524,-0.000525
'2016.03.07 23:00',0.99392,0.99393,0.99392,0.99392,0.99522,0.995554,0.000169,-0.000503,-0.000476
'2016.03.08 00:00',0.99437,0.99442,0.99432,0.99441,0.995095,0.995469,0.00006,-0.000435,-0.000381
'2016.03.08 01:00',0.99355,0.99355,0.99345,0.99353,0.994854,0.995326,-0.000046,-0.000425,-0.00041
'2016.03.08 02:00',0.99302,0.99302,0.99256,0.99256,0.994501,0.995121,-0.000161,-0.000459,-0.000456
'2016.03.08 03:00',0.99248,0.99248,0.99204,0.99206,0.994126,0.994894,-0.000282,-0.000486,-0.000478
'2016.03.08 04:00',0.99102,0.99109,0.99082,0.99082,0.993617,0.994592,-0.000421,-0.000554,-0.000571
'2016.03.08 05:00',0.9918,0.99186,0.99139,0.99153,0.993296,0.994365,-0.00055,-0.000519,-0.000471
'2016.03.08 06:00',0.99338,0.99378,0.99338,0.99367,0.993354,0.994314,-0.000632,-0.000328,-0.000198
'2016.03.08 07:00',0.99355,0.99377,0.99355,0.99362,0.993395,0.994262,-0.000679,-0.000188,-0.000093
'2016.03.08 08:00',0.99366,0.99374,0.9936,0.99362,0.993429,0.994215,-0.000701,-0.000085,-0.000018
'2016.03.08 09:00',0.99215,0.99222,0.99202,0.9922,0.99324,0.994066,-0.000726,-0.0001,-0.000116
'2016.03.08 10:00',0.99309,0.99321,0.99269,0.9927,0.993157,0.993964,-0.000742,-0.000065,-0.000035
'2016.03.08 11:00',0.99178,0.992,0.9917,0.99199,0.992978,0.993818,-0.000762,-0.000079,-0.000099
'2016.03.08 12:00',0.994,0.994,0.99357,0.99365,0.993081,0.993806,-0.000754,0.00003,0.000098
'2016.03.08 13:00',0.995,0.99525,0.995,0.99525,0.993415,0.993913,-0.000703,0.000205,0.000293
'2016.03.08 14:00',0.99683,0.99686,0.99641,0.99646,0.993883,0.994101,-0.000606,0.000388,0.000484
'2016.03.08 15:00',0.99639,0.99661,0.99636,0.99644,0.994277,0.994275,-0.000485,0.000486,0.000514
'2016.03.08 16:00',0.99597,0.99599,0.99576,0.99593,0.994531,0.994397,-0.000361,0.000495,0.000456
'2016.03.08 17:00',0.99498,0.99498,0.99465,0.99479,0.994571,0.994426,-0.00026,0.000404,0.00031
