timestamp,open,high,low,close,EMA12,EMA26,EMA9,histogram1,histogram2
'2016.03.04 15:00',1.09974,1.09992,1.0997,1.09986,1.098985,1.096814,0.002162,0.000009,-0.000069
'2016.03.04 16:00',1.10024,1.10024,1.10013,1.1002,1.099172,1.097065,0.002151,-0.000044,-0.000103
'2016.03.06 17:00',1.09884,1.09884,1.09879,1.09881,1.099117,1.097194,0.002105,-0.000183,-0.000292
'2016.03.06 18:00',1.09918,1.09948,1.09915,1.09948,1.099172,1.097364,0.002046,-0.000237,-0.000285
'2016.03.06 19:00',1.0991,1.09927,1.09896,1.09924,1.099183,1.097503,0.001973,-0.000293,-0.000342
'2016.03.06 20:00',1.09953,1.09959,1.09953,1.09956,1.099241,1.097655,0.001895,-0.00031,-0.000333
'2016.03.06 21:00',1.09865,1.09867,1.09855,1.09865,1.09915,1.097729,0.001801,-0.000379,-0.000435
'2016.03.06 22:00',1.09899,1.09901,1.09894,1.09897,1.099122,1.097821,0.001701,-0.000399,-0.000421
'2016.03.06 23:00',1.09889,1.09894,1.09888,1.09893,1.099093,1.097903,0.001599,-0.000409,-0.000422
'2016.03.07 00:00',1.09898,1.099,1.09898,1.099,1.099078,1.097984,0.001498,-0.000403,-0.000406
'2016.03.07 01:00',1.09923,1.09927,1.09919,1.09924,1.099103,1.098077,0.001403,-0.000377,-0.000367
'2016.03.07 02:00',1.09904,1.09935,1.09893,1.09909,1.099101,1.098152,0.001312,-0.000363,-0.000355
'2016.03.07 03:00',1.09694,1.09718,1.09674,1.09716,1.098803,1.098079,0.001195,-0.000471,-0.000537
'2016.03.07 04:00',1.09481,1.09488,1.09469,1.09487,1.098198,1.097841,0.001027,-0.000671,-0.000783
'2016.03.07 05:00',1.09544,1.09544,1.09512,1.09514,1.097727,1.097641,0.000839,-0.000753,-0.000787
'2016.03.07 06:00',1.09529,1.09533,1.09528,1.09533,1.097358,1.09747,0.000649,-0.00076,-0.000745
