timestamp,open,high,low,close,close2
'2016.03.07 00:00',113.741,113.75,113.729,113.75,115.032315
'2016.03.07 01:00',113.683,113.683,113.671,113.671,114.992023
'2016.03.07 02:00',113.7,113.753,113.696,113.704,114.9918
'2016.03.07 03:00',113.717,113.717,113.653,113.662,114.980656
'2016.03.07 04:00',113.589,113.616,113.58,113.608,114.956121
'2016.03.07 05:00',113.512,113.538,113.51,113.535,114.921145
'2016.03.07 06:00',113.478,113.478,113.467,113.471,114.894267
'2016.03.07 07:00',113.57,113.57,113.563,113.563,114.939149
'2016.03.07 08:00',113.66,113.685,113.66,113.679,114.992132
'2016.03.07 09:00',113.526,113.57,113.526,113.57,114.93542
'2016.03.07 10:00',113.593,113.598,113.569,113.588,114.950238
'2016.03.07 11:00',113.519,113.52,113.512,113.513,114.914451
'2016.03.07 12:00',113.604,113.607,113.587,113.587,114.948303
'2016.03.07 13:00',113.562,113.576,113.561,113.575,114.943379
'2016.03.07 14:00',113.447,113.466,113.447,113.463,114.887417
'2016.03.07 15:00',113.255,113.269,113.254,113.266,114.794792
'2016.03.07 16:00',113.385,113.408,113.381,113.405,114.858853
'2016.03.07 17:00',113.44,113.44,113.416,113.416,114.865063
'2016.03.07 18:00',113.357,113.363,113.335,113.338,114.82667
'2016.03.07 19:00',113.492,113.513,113.457,113.458,114.876299
'2016.03.07 20:00',113.004,113.032,112.981,113.032,114.686239
'2016.03.07 21:00',112.879,112.879,112.847,112.849,114.606052
'2016.03.07 22:00',112.913,112.915,112.906,112.911,114.636343
'2016.03.07 23:00',112.972,112.972,112.957,112.958,114.655881
'2016.03.08 00:00',113.21,113.244,113.202,113.22,114.76657
'2016.03.08 01:00',113.151,113.159,113.116,113.156,114.745433
'2016.03.08 02:00',113.037,113.04,112.929,113.019,114.682409
'2016.03.08 03:00',112.939,112.986,112.854,112.877,114.599037
'2016.03.08 04:00',112.928,112.947,112.921,112.924,114.636274
'2016.03.08 05:00',112.953,112.963,112.952,112.962,114.657804
'2016.03.08 06:00',112.885,112.887,112.856,112.869,114.61616
'2016.03.08 07:00',112.966,113,112.966,112.997,114.668905
'2016.03.08 08:00',113.001,113.007,112.989,113.005,114.677516
'2016.03.08 09:00',112.968,112.97,112.941,112.949,114.650635
'2016.03.08 10:00',112.747,112.757,112.689,112.7,114.537306
'2016.03.08 11:00',112.444,112.472,112.444,112.46,114.441952
'2016.03.08 12:00',112.583,112.583,112.542,112.55,114.480149
'2016.03.08 13:00',112.55,112.57,112.55,112.565,114.486722
'2016.03.08 14:00',112.64,112.64,112.594,112.615,114.508053
'2016.03.08 15:00',112.606,112.632,112.6,112.61,114.501886
'2016.03.08 16:00',112.612,112.614,112.596,112.614,114.510621
'2016.03.08 17:00',112.614,112.614,112.602,112.607,114.506987
'2016.03.08 18:00',112.677,112.677,112.658,112.658,114.526488
'2016.03.08 19:00',112.691,112.691,112.62,112.641,114.515466
'2016.03.08 20:00',112.45,112.453,112.412,112.435,114.43533
'2016.03.08 21:00',112.526,112.539,112.524,112.524,114.46969
'2016.03.08 22:00',112.624,112.624,112.597,112.597,114.500133
'2016.03.08 23:00',112.66,112.666,112.653,112.659,114.527569
'2016.03.09 00:00',112.577,112.593,112.571,112.576,114.4902
'2016.03.09 01:00',112.553,112.596,112.553,112.596,114.496547
'2016.03.09 02:00',112.546,112.624,112.52,112.52,114.445698
'2016.03.09 03:00',112.464,112.546,112.464,112.479,114.433583
'2016.03.09 04:00',112.507,112.538,112.499,112.523,114.46655
'2016.03.09 05:00',112.439,112.469,112.439,112.464,114.444231
'2016.03.09 06:00',112.333,112.345,112.332,112.337,114.396182
'2016.03.09 07:00',112.486,112.513,112.481,112.507,114.461933
'2016.03.09 08:00',112.471,112.499,112.471,112.489,114.453891
'2016.03.09 09:00',112.744,112.757,112.744,112.745,114.561781
'2016.03.09 10:00',112.913,113.004,112.908,112.995,114.657492
'2016.03.09 11:00',112.895,112.929,112.891,112.909,114.627641
'2016.03.09 12:00',113.071,113.075,113.054,113.063,114.7023
'2016.03.09 13:00',113.088,113.104,113.063,113.081,114.706695
'2016.03.09 14:00',113.269,113.285,113.24,113.253,114.783996
'2016.03.09 15:00',113.388,113.442,113.378,113.442,114.871474
'2016.03.09 16:00',113.401,113.429,113.4,113.427,114.868604
'2016.03.09 17:00',113.326,113.344,113.323,113.344,114.831238
'2016.03.09 18:00',113.305,113.322,113.304,113.32,114.819733
'2016.03.09 19:00',113.232,113.269,113.23,113.269,114.792586
'2016.03.09 20:00',113.318,113.319,113.306,113.319,114.822613
'2016.03.09 21:00',113.62,113.625,113.601,113.603,114.955518
'2016.03.09 22:00',113.589,113.589,113.581,113.584,114.949867
'2016.03.09 23:00',113.757,113.78,113.757,113.778,115.043339
'2016.03.10 00:00',113.756,113.76,113.744,113.751,115.032195
'2016.03.10 01:00',113.739,113.752,113.737,113.738,115.022823
