timestamp,open,high,low,close,close2
'2016.03.04 14:00',0.99429,0.99443,0.99428,0.99441,0.99376
'2016.03.04 15:00',0.99484,0.99485,0.99462,0.99478,0.994172
'2016.03.04 16:00',0.99341,0.99347,0.99333,0.99333,0.992806
'2016.03.06 17:00',0.9927,0.9927,0.9927,0.9927,0.992133
'2016.03.06 18:00',0.99407,0.99413,0.99405,0.99409,0.993496
'2016.03.06 19:00',0.9943,0.9944,0.99408,0.99409,0.993622
'2016.03.06 20:00',0.99338,0.99361,0.99335,0.99337,0.992847
'2016.03.06 21:00',0.99391,0.99396,0.99391,0.99391,0.993335
'2016.03.06 22:00',0.99402,0.99402,0.994,0.994,0.993422
'2016.03.06 23:00',0.9946,0.99461,0.9945,0.9945,0.993954
'2016.03.07 00:00',0.99423,0.99424,0.99423,0.99424,0.993643
'2016.03.07 01:00',0.99385,0.99385,0.99383,0.99383,0.993254
'2016.03.07 02:00',0.99393,0.99401,0.99382,0.99401,0.993357
'2016.03.07 03:00',0.99663,0.99664,0.99631,0.99631,0.995839
'2016.03.07 04:00',0.99923,0.99936,0.99923,0.99935,0.998615
'2016.03.07 05:00',0.99953,0.99989,0.99951,0.99988,0.999021
'2016.03.07 06:00',0.9992,0.99928,0.9992,0.99922,0.998547
'2016.03.07 07:00',1.0001,1.00023,1.00009,1.00009,0.999432
'2016.03.07 08:00',1.00086,1.00108,1.00081,1.00084,1.000187
'2016.03.07 09:00',1.00008,1.0004,0.99996,1.0004,0.999519
'2016.03.07 10:00',0.9997,0.99977,0.99958,0.99974,0.999012
'2016.03.07 11:00',0.9985,0.99887,0.99848,0.99886,0.998015
'2016.03.07 12:00',0.99699,0.99699,0.99656,0.9966,0.996145
'2016.03.07 13:00',0.99431,0.99445,0.99412,0.99415,0.993662
'2016.03.07 14:00',0.99622,0.99622,0.99617,0.99619,0.995575
'2016.03.07 15:00',0.99481,0.99535,0.99481,0.99526,0.994458
'2016.03.07 16:00',0.99557,0.99575,0.99557,0.99575,0.995047
'2016.03.07 17:00',0.99499,0.99504,0.9948,0.99504,0.994365
'2016.03.07 18:00',0.9955,0.9955,0.99546,0.99549,0.994875
'2016.03.07 19:00',0.99578,0.99578,0.99569,0.9957,0.99512
'2016.03.07 20:00',0.99486,0.99498,0.99485,0.99498,0.994316
'2016.03.07 21:00',0.99449,0.99449,0.99429,0.99429,0.993793
'2016.03.07 22:00',0.99391,0.99391,0.99366,0.99369,0.993205
'2016.03.07 23:00',0.99392,0.99393,0.99392,0.99392,0.993336
'2016.03.08 00:00',0.99437,0.99442,0.99432,0.99441,0.993787
'2016.03.08 01:00',0.99355,0.99355,0.99345,0.99353,0.99294
'2016.03.08 02:00',0.99302,0.99302,0.99256,0.99256,0.992215
'2016.03.08 03:00',0.99248,0.99248,0.99204,0.99206,0.991699
'2016.03.08 04:00',0.99102,0.99109,0.99082,0.99082,0.990395
'2016.03.08 05:00',0.9918,0.99186,0.99139,0.99153,0.991091
'2016.03.08 06:00',0.99338,0.99378,0.99338,0.99367,0.992975
'2016.03.08 07:00',0.99355,0.99377,0.99355,0.99362,0.993041
'2016.03.08 08:00',0.99366,0.99374,0.9936,0.99362,0.993072
'2016.03.08 09:00',0.99215,0.99222,0.99202,0.9922,0.991591
'2016.03.08 10:00',0.99309,0.99321,0.99269,0.9927,0.992346
'2016.03.08 11:00',0.99178,0.992,0.9917,0.99199,0.991317
'2016.03.08 12:00',0.994,0.994,0.99357,0.99365,0.993216
'2016.03.08 13:00',0.995,0.99525,0.995,0.99525,0.994522
'2016.03.08 14:00',0.99683,0.99686,0.99641,0.99646,0.996003
'2016.03.08 15:00',0.99639,0.99661,0.99636,0.99644,0.995821
'2016.03.08 16:00',0.99597,0.99599,0.99576,0.99593,0.995293
'2016.03.08 17:00',0.99498,0.99498,0.99465,0.99479,0.994246
'2016.03.08 18:00',0.99563,0.99574,0.99553,0.99562,0.995015
'2016.03.08 19:00',0.99639,0.99645,0.99639,0.9964,0.995779
'2016.03.08 20:00',0.99674,0.99675,0.99671,0.99672,0.996096
'2016.03.08 21:00',0.99741,0.9975,0.99741,0.99742,0.996789
'2016.03.08 22:00',0.99772,0.99772,0.99767,0.99768,0.997046
'2016.03.08 23:00',0.99799,0.99801,0.99797,0.99799,0.997334
'2016.03.09 00:00',0.99795,0.99795,0.99794,0.99794,0.99729
'2016.03.09 01:00',0.99816,0.99832,0.99816,0.99832,0.997582
'2016.03.09 02:00',0.99803,0.99817,0.99803,0.99803,0.997407
'2016.03.09 03:00',0.997,0.9974,0.99699,0.99738,0.996556
'2016.03.09 04:00',0.99781,0.99803,0.99779,0.998,0.997256
'2016.03.09 05:00',0.99821,0.99871,0.9982,0.99863,0.997779
'2016.03.09 06:00',1.002,1.0022,1.002,1.00213,1.001353
'2016.03.09 07:00',1.00091,1.00137,1.0007,1.00107,1.000304
'2016.03.09 08:00',1.0003,1.00046,1.00006,1.00007,0.999522
'2016.03.09 09:00',1.00209,1.00222,1.00207,1.00209,1.001385
'2016.03.09 10:00',0.99995,1.00008,0.99956,1.00004,0.999221
'2016.03.09 11:00',0.9967,0.99681,0.9962,0.99651,0.995923
'2016.03.09 12:00',0.99585,0.99591,0.99576,0.99588,0.995232
'2016.03.09 13:00',0.99498,0.99526,0.99493,0.99525,0.994503
'2016.03.09 14:00',0.99612,0.99629,0.9961,0.99619,0.995551
'2016.03.09 15:00',0.99749,0.99792,0.99749,0.99791,0.997058
'2016.03.09 16:00',0.99709,0.99711,0.99707,0.9971,0.996453
'2016.03.09 17:00',0.9973,0.99734,0.99666,0.99719,0.996483
'2016.03.09 18:00',0.99726,0.9975,0.99726,0.99746,0.996728
'2016.03.09 19:00',0.99816,0.99818,0.9981,0.99813,0.997484
'2016.03.09 20:00',0.9982,0.99821,0.9982,0.9982,0.997543
'2016.03.09 21:00',0.99773,0.99774,0.9977,0.9977,0.997066
'2016.03.09 22:00',0.99729,0.99733,0.99725,0.9973,0.996649
'2016.03.09 23:00',0.99758,0.99766,0.99758,0.99765,0.996969
'2016.03.10 00:00',0.99715,0.99718,0.99715,0.99718,0.996524
'2016.03.10 01:00',0.99756,0.99764,0.99734,0.99761,0.996892
'2016.03.10 02:00',0.99716,0.99746,0.99681,0.99683,0.996419
'2016.03.10 03:00',0.99733,0.99754,0.99733,0.99751,0.996784
'2016.03.10 04:00',0.9969,0.99701,0.99681,0.99698,0.996289
'2016.03.10 05:00',0.99692,0.997,0.99676,0.99691,0.996261
'2016.03.10 06:00',0.99759,0.99788,0.99752,0.99778,0.997044
'2016.03.10 07:00',0.99802,0.99808,0.99802,0.99803,0.997381
'2016.03.10 08:00',1.00711,1.00837,1.007,1.0081,1.006816
'2016.03.10 09:00',1.00064,1.00068,0.99949,1.00065,0.999673
'2016.03.10 10:00',0.99435,0.99457,0.99297,0.99375,0.993319
'2016.03.10 11:00',0.9881,0.98843,0.98782,0.98836,0.987684
'2016.03.10 12:00',0.98596,0.98596,0.98563,0.98569,0.985342
'2016.03.10 13:00',0.98316,0.98318,0.98302,0.98309,0.982683
'2016.03.10 14:00',0.98224,0.9824,0.98171,0.98237,0.981768
'2016.03.10 15:00',0.98241,0.98273,0.98237,0.98263,0.982116
'2016.03.10 16:00',0.98478,0.98493,0.98476,0.98493,0.984401
'2016.03.10 17:00',0.98493,0.98494,0.98468,0.98489,0.984409
'2016.03.10 18:00',0.98454,0.98454,0.98396,0.98406,0.983825
'2016.03.10 19:00',0.98458,0.98458,0.98403,0.98427,0.983917
'2016.03.10 20:00',0.98392,0.98392,0.98351,0.98352,0.983275
'2016.03.10 21:00',0.98412,0.98436,0.98401,0.98427,0.983749
'2016.03.10 22:00',0.98471,0.98471,0.9847,0.98471,0.984258
'2016.03.10 23:00',0.98544,0.98544,0.9854,0.9854,0.98496
'2016.03.11 00:00',0.98528,0.98528,0.98515,0.98517,0.984762
'2016.03.11 01:00',0.98465,0.98465,0.98447,0.98447,0.98411
'2016.03.11 02:00',0.98623,0.98623,0.9849,0.9849,0.985085
'2016.03.11 03:00',0.98597,0.98615,0.98507,0.9854,0.985178
'2016.03.11 04:00',0.98773,0.98809,0.9877,0.9877,0.98731
'2016.03.11 05:00',0.9871,0.98722,0.98695,0.98695,0.98657
'2016.03.11 06:00',0.98803,0.98822,0.98803,0.9882,0.987625
'2016.03.11 07:00',0.98644,0.98651,0.9864,0.98644,0.985974
'2016.03.11 08:00',0.98658,0.9866,0.98608,0.98609,0.985858
'2016.03.11 09:00',0.98522,0.98563,0.98514,0.98539,0.984888
'2016.03.11 10:00',0.98351,0.98394,0.98327,0.9833,0.983066
'2016.03.11 11:00',0.98366,0.98406,0.98363,0.98382,0.983356
'2016.03.11 12:00',0.98145,0.98154,0.98143,0.98154,0.981083
'2016.03.11 13:00',0.98161,0.98164,0.98154,0.98157,0.98118
'2016.03.11 14:00',0.98072,0.98128,0.98072,0.98127,0.980603
'2016.03.11 15:00',0.98158,0.98162,0.98148,0.98158,0.981156
'2016.03.11 16:00',0.98267,0.98267,0.98255,0.98266,0.982215
'2016.03.13 17:00',0.98329,0.9833,0.98308,0.98325,0.9828
'2016.03.13 18:00',0.98289,0.98323,0.98288,0.98308,0.982594
'2016.03.13 19:00',0.98219,0.98233,0.98201,0.98201,0.981715
'2016.03.13 20:00',0.98287,0.98305,0.98287,0.98291,0.982498
'2016.03.13 21:00',0.9828,0.98286,0.98279,0.9828,0.982387
'2016.03.13 22:00',0.98328,0.98328,0.98311,0.98313,0.982768
'2016.03.13 23:00',0.98364,0.98364,0.9835,0.98353,0.983141
'2016.03.14 00:00',0.98344,0.98344,0.98344,0.98344,0.983007
'2016.03.14 01:00',0.98332,0.98348,0.98332,0.98343,0.982956
'2016.03.14 02:00',0.98403,0.98403,0.98371,0.98379,0.983448
'2016.03.14 03:00',0.98424,0.98429,0.98415,0.98427,0.983795
'2016.03.14 04:00',0.98493,0.9855,0.98493,0.9855,0.984767
'2016.03.14 05:00',0.98721,0.98727,0.98717,0.98718,0.986722
'2016.03.14 06:00',0.9872,0.98729,0.98701,0.98729,0.986716
'2016.03.14 07:00',0.98725,0.98742,0.98725,0.98727,0.986811
'2016.03.14 08:00',0.98755,0.98755,0.98736,0.98745,0.986989
'2016.03.14 09:00',0.98565,0.98585,0.98558,0.9857,0.985232
'2016.03.14 10:00',0.98725,0.98743,0.98718,0.9872,0.986778
'2016.03.14 11:00',0.98679,0.98703,0.9866,0.98701,0.986382
'2016.03.14 12:00',0.98595,0.9863,0.98566,0.98567,0.985423
'2016.03.14 13:00',0.98638,0.9865,0.98622,0.98626,0.985866
'2016.03.14 14:00',0.98736,0.98757,0.9873,0.98737,0.986912
'2016.03.14 15:00',0.98761,0.98761,0.98724,0.9874,0.986975
'2016.03.14 16:00',0.98756,0.98757,0.98743,0.98757,0.987045
'2016.03.14 17:00',0.98714,0.98714,0.98674,0.98707,0.986542
'2016.03.14 18:00',0.98719,0.98747,0.9871,0.98723,0.986762
'2016.03.14 19:00',0.98729,0.9873,0.98729,0.9873,0.98681
'2016.03.14 20:00',0.98709,0.98709,0.98704,0.98707,0.98659
'2016.03.14 21:00',0.9869,0.98693,0.98684,0.9869,0.986413
'2016.03.14 22:00',0.9864,0.9864,0.98615,0.98618,0.985808
'2016.03.14 23:00',0.98638,0.98648,0.98631,0.98636,0.985909
'2016.03.15 00:00',0.98619,0.98626,0.98613,0.9862,0.985725
'2016.03.15 01:00',0.98655,0.98658,0.98655,0.98658,0.98609
'2016.03.15 02:00',0.98713,0.98713,0.98701,0.98704,0.986594
'2016.03.15 03:00',0.98719,0.98738,0.98691,0.98737,0.986732
'2016.03.15 04:00',0.98613,0.98615,0.98558,0.98561,0.985395
'2016.03.15 05:00',0.98657,0.9866,0.98641,0.9866,0.986071
'2016.03.15 06:00',0.98883,0.98888,0.98852,0.98881,0.988255
'2016.03.15 07:00',0.98859,0.98862,0.98851,0.98857,0.988068
'2016.03.15 08:00',0.9873,0.98768,0.98725,0.98762,0.986979
'2016.03.15 09:00',0.98592,0.98592,0.98561,0.98569,0.985318
'2016.03.15 10:00',0.98612,0.98645,0.98585,0.9862,0.985687
'2016.03.15 11:00',0.9871,0.98715,0.98706,0.98709,0.986617
'2016.03.15 12:00',0.98523,0.9856,0.98514,0.98536,0.984875
'2016.03.15 13:00',0.98686,0.98686,0.98677,0.98677,0.986335
'2016.03.15 14:00',0.9861,0.98627,0.9861,0.9862,0.985699
'2016.03.15 15:00',0.987,0.9872,0.98696,0.9872,0.98661
'2016.03.15 16:00',0.98691,0.98694,0.98675,0.9868,0.986369
'2016.03.15 17:00',0.98708,0.98713,0.98691,0.98713,0.986582
'2016.03.15 18:00',0.98699,0.98699,0.98691,0.98696,0.986482
'2016.03.15 19:00',0.98679,0.98685,0.98675,0.98678,0.986314
'2016.03.15 20:00',0.98719,0.98721,0.98718,0.98719,0.986708
'2016.03.15 21:00',0.98713,0.98714,0.98711,0.98711,0.986639
'2016.03.15 22:00',0.98741,0.98741,0.98734,0.98734,0.986887
'2016.03.15 23:00',0.98766,0.98769,0.98764,0.98769,0.98718
'2016.03.16 00:00',0.9875,0.9875,0.98748,0.9875,0.987007
'2016.03.16 01:00',0.98777,0.98777,0.98762,0.98762,0.987202
'2016.03.16 02:00',0.98764,0.98765,0.98761,0.98761,0.987137
'2016.03.16 03:00',0.98789,0.988,0.98772,0.98772,0.987336
'2016.03.16 04:00',0.98883,0.98906,0.98882,0.98905,0.988434
'2016.03.16 05:00',0.98893,0.98902,0.98887,0.98894,0.988431
'2016.03.16 06:00',0.98853,0.98853,0.98833,0.98848,0.987965
'2016.03.16 07:00',0.98866,0.98873,0.98866,0.98868,0.988177
'2016.03.16 08:00',0.98812,0.98813,0.98801,0.98808,0.987588
'2016.03.16 09:00',0.98954,0.98954,0.98925,0.98927,0.98888
'2016.03.16 10:00',0.99003,0.99006,0.98986,0.98997,0.989455
'2016.03.16 11:00',0.99095,0.991,0.99083,0.99093,0.990388
'2016.03.16 12:00',0.98794,0.9882,0.98787,0.98812,0.987539
'2016.03.16 13:00',0.98855,0.98886,0.9885,0.98873,0.988157
'2016.03.16 14:00',0.98719,0.98719,0.98374,0.98399,0.985023
'2016.03.16 15:00',0.97921,0.97999,0.97892,0.9799,0.979132
'2016.03.16 16:00',0.97615,0.97622,0.97615,0.9762,0.975834
'2016.03.16 17:00',0.97671,0.97687,0.97629,0.97687,0.976338
'2016.03.16 18:00',0.97805,0.97805,0.97786,0.97799,0.977621
'2016.03.16 19:00',0.97816,0.97821,0.97816,0.97821,0.977817
'2016.03.16 20:00',0.97806,0.97826,0.97806,0.97826,0.977795
'2016.03.16 21:00',0.97791,0.97791,0.97759,0.97766,0.977401
'2016.03.16 22:00',0.97782,0.97782,0.97778,0.97778,0.977435
'2016.03.16 23:00',0.97755,0.97767,0.97755,0.97766,0.977247
'2016.03.17 00:00',0.97751,0.97761,0.97751,0.97753,0.977179
'2016.03.17 01:00',0.9778,0.97782,0.97761,0.97761,0.977344
'2016.03.17 02:00',0.97754,0.97757,0.97736,0.97736,0.977094
'2016.03.17 03:00',0.97728,0.97732,0.97719,0.97719,0.976886
'2016.03.17 04:00',0.97539,0.97565,0.97527,0.9756,0.975142
'2016.03.17 05:00',0.97289,0.97289,0.97267,0.97277,0.972493
'2016.03.17 06:00',0.97192,0.97194,0.97096,0.97106,0.97116
'2016.03.17 07:00',0.9697,0.96974,0.96942,0.96945,0.969293
'2016.03.17 08:00',0.96821,0.9683,0.968,0.96802,0.967862
'2016.03.17 09:00',0.9687,0.96875,0.9686,0.9686,0.968389
'2016.03.17 10:00',0.96708,0.96714,0.96604,0.96636,0.966391
'2016.03.17 11:00',0.9654,0.9655,0.96531,0.9655,0.965184
'2016.03.17 12:00',0.96794,0.96798,0.96762,0.96764,0.967526
'2016.03.17 13:00',0.96573,0.96601,0.96565,0.966,0.965603
'2016.03.17 14:00',0.96669,0.96676,0.96666,0.96674,0.966458
'2016.03.17 15:00',0.96676,0.96702,0.96671,0.96693,0.9666
'2016.03.17 16:00',0.96729,0.96741,0.96714,0.96716,0.966987
'2016.03.17 17:00',0.96758,0.96761,0.96736,0.96755,0.967263
'2016.03.17 18:00',0.96713,0.96713,0.96645,0.96655,0.966551
'2016.03.17 19:00',0.96727,0.96727,0.96716,0.96717,0.966956
