165,'2016.03.09 21:00',buy
166,'2016.03.09 22:00',sell
167,'2016.03.09 23:00',buy
168,'2016.03.10 00:00',sell
169,'2016.03.10 01:00',sell
170,'2016.03.10 02:00',sell
171,'2016.03.10 03:00',sell
172,'2016.03.10 04:00',sell
173,'2016.03.10 05:00',sell
174,'2016.03.10 06:00',buy
175,'2016.03.10 07:00',buy
176,'2016.03.10 08:00',buy
177,'2016.03.10 09:00',sell
178,'2016.03.10 10:00',buy
179,'2016.03.10 11:00',sell
180,'2016.03.10 12:00',sell
181,'2016.03.10 13:00',sell
182,'2016.03.10 14:00',buy
183,'2016.03.10 15:00',buy
184,'2016.03.10 16:00',buy
185,'2016.03.10 17:00',sell
186,'2016.03.10 18:00',sell
187,'2016.03.10 19:00',sell
188,'2016.03.10 20:00',buy
189,'2016.03.10 21:00',buy
190,'2016.03.10 22:00',sell
191,'2016.03.10 23:00',buy
192,'2016.03.11 00:00',buy
193,'2016.03.11 01:00',sell
194,'2016.03.11 02:00',buy
195,'2016.03.11 03:00',buy
196,'2016.03.11 04:00',buy
197,'2016.03.11 05:00',buy
198,'2016.03.11 06:00',sell
199,'2016.03.11 07:00',sell
200,'2016.03.11 08:00',buy
201,'2016.03.11 09:00',sell
202,'2016.03.11 10:00',sell
203,'2016.03.11 11:00',buy
204,'2016.03.11 12:00',buy
205,'2016.03.11 13:00',buy
206,'2016.03.11 14:00',sell
207,'2016.03.11 15:00',buy
208,'2016.03.11 16:00',buy
209,'2016.03.13 17:00',buy
210,'2016.03.13 18:00',sell
211,'2016.03.13 19:00',sell
212,'2016.03.13 20:00',buy
213,'2016.03.13 21:00',buy
214,'2016.03.13 22:00',sell
215,'2016.03.13 23:00',sell
216,'2016.03.14 00:00',sell
217,'2016.03.14 01:00',sell
218,'2016.03.14 02:00',buy
219,'2016.03.14 03:00',buy
220,'2016.03.14 04:00',sell
221,'2016.03.14 05:00',sell
222,'2016.03.14 06:00',buy
223,'2016.03.14 07:00',buy
224,'2016.03.14 08:00',buy
225,'2016.03.14 09:00',sell
226,'2016.03.14 10:00',buy
227,'2016.03.14 11:00',buy
228,'2016.03.14 12:00',sell
229,'2016.03.14 13:00',buy
230,'2016.03.14 14:00',buy
231,'2016.03.14 15:00',buy
232,'2016.03.14 16:00',buy
233,'2016.03.14 17:00',sell
234,'2016.03.14 18:00',sell
235,'2016.03.14 19:00',sell
236,'2016.03.14 20:00',sell
237,'2016.03.14 21:00',buy
238,'2016.03.14 22:00',sell
239,'2016.03.14 23:00',sell
240,'2016.03.15 00:00',sell
241,'2016.03.15 01:00',sell
242,'2016.03.15 02:00',buy
243,'2016.03.15 03:00',buy
244,'2016.03.15 04:00',sell
245,'2016.03.15 05:00',sell
246,'2016.03.15 06:00',buy
247,'2016.03.15 07:00',sell
248,'2016.03.15 08:00',sell
249,'2016.03.15 09:00',sell
250,'2016.03.15 10:00',sell
251,'2016.03.15 11:00',buy
252,'2016.03.15 12:00',sell
